date,active_addresses,transactions,volume,fees,symbol
2024-12-27 15:52:35.839861,2614,24205,58303,553,BNB-USD
2024-12-28 15:52:35.839861,2762,25861,58910,587,BNB-USD
2024-12-29 15:52:35.839861,2855,26759,59087,621,BNB-USD
2024-12-30 15:52:35.839861,2737,27149,60012,633,BNB-USD
2024-12-31 15:52:35.839861,2795,27961,57927,633,BNB-USD
2025-01-01 15:52:35.839861,2862,26174,56632,640,BNB-USD
2025-01-02 15:52:35.839861,2835,25662,55591,673,BNB-USD
2025-01-03 15:52:35.839861,2566,23801,54655,654,BNB-USD
2025-01-04 15:52:35.839861,2401,25459,54637,639,BNB-USD
2025-01-05 15:52:35.839861,2235,25615,54191,642,BNB-USD
2025-01-06 15:52:35.839861,2226,24503,55001,594,BNB-USD
2025-01-07 15:52:35.839861,2306,25969,54264,588,BNB-USD
2025-01-08 15:52:35.839861,2497,26867,54992,565,BNB-USD
2025-01-09 15:52:35.839861,2540,25348,55946,511,BNB-USD
2025-01-10 15:52:35.839861,2626,25927,54758,496,BNB-USD
2025-01-11 15:52:35.839861,2828,27678,53909,499,BNB-USD
2025-01-12 15:52:35.839861,2701,27712,53140,504,BNB-USD
2025-01-13 15:52:35.839861,2753,27617,51343,488,BNB-USD
2025-01-14 15:52:35.839861,2937,28729,49217,486,BNB-USD
2025-01-15 15:52:35.839861,2982,28663,47659,494,BNB-USD
2025-01-16 15:52:35.839861,3044,28430,47727,498,BNB-USD
2025-01-17 15:52:35.839861,2937,29052,48770,474,BNB-USD
2025-01-18 15:52:35.839861,3030,29059,47525,470,BNB-USD
2025-01-19 15:52:35.839861,3174,30069,48145,488,BNB-USD
2025-01-20 15:52:35.839861,3270,29302,48242,497,BNB-USD
2025-01-21 15:52:35.839861,3006,30011,48706,453,BNB-USD
2025-01-22 15:52:35.839861,2985,31506,49452,447,BNB-USD
2025-01-23 15:52:35.839861,3194,29923,49100,434,BNB-USD
2025-01-24 15:52:35.839861,3224,30235,47955,462,BNB-USD
2025-01-25 15:52:35.839861,3035,30354,46309,466,BNB-USD
2025-01-26 15:52:35.839861,3136,30808,47108,481,BNB-USD
2025-01-27 15:52:35.839861,3025,29841,47007,489,BNB-USD
2025-01-28 15:52:35.839861,3064,31303,46766,485,BNB-USD
2025-01-29 15:52:35.839861,3006,33769,46161,503,BNB-USD
2025-01-30 15:52:35.839861,2947,31805,44581,522,BNB-USD
2025-01-31 15:52:35.839861,2974,32690,44689,503,BNB-USD
2025-02-01 15:52:35.839861,2892,32026,44489,488,BNB-USD
2025-02-02 15:52:35.839861,2835,34109,43969,475,BNB-USD
2025-02-03 15:52:35.839861,2688,35848,42536,478,BNB-USD
2025-02-04 15:52:35.839861,2583,35122,44375,473,BNB-USD
2025-02-05 15:52:35.839861,2595,33897,45286,490,BNB-USD
2025-02-06 15:52:35.839861,2672,34813,44772,472,BNB-USD
2025-02-07 15:52:35.839861,2623,37147,45714,471,BNB-USD
2025-02-08 15:52:35.839861,2524,40447,46216,473,BNB-USD
2025-02-09 15:52:35.839861,2448,40418,47614,425,BNB-USD
2025-02-10 15:52:35.839861,2408,38823,46970,429,BNB-USD
2025-02-11 15:52:35.839861,2495,40168,46283,431,BNB-USD
2025-02-12 15:52:35.839861,2682,38942,46511,429,BNB-USD
