date,active_addresses,transactions,volume,fees,symbol
2024-12-27 15:52:35.741202,8146,13246,44403,392,BTC-USD
2024-12-28 15:52:35.741202,8423,12684,48544,416,BTC-USD
2024-12-29 15:52:35.741202,8256,12575,46554,418,BTC-USD
2024-12-30 15:52:35.741202,8281,12689,44887,424,BTC-USD
2024-12-31 15:52:35.741202,8541,12639,41339,411,BTC-USD
2025-01-01 15:52:35.741202,8288,12881,38552,435,BTC-USD
2025-01-02 15:52:35.741202,8349,13002,41945,431,BTC-USD
2025-01-03 15:52:35.741202,8140,13169,42270,453,BTC-USD
2025-01-04 15:52:35.741202,8142,13921,40781,432,BTC-USD
2025-01-05 15:52:35.741202,8278,13841,39807,421,BTC-USD
2025-01-06 15:52:35.741202,8450,13743,40261,394,BTC-USD
2025-01-07 15:52:35.741202,8340,14083,40590,384,BTC-USD
2025-01-08 15:52:35.741202,8466,14215,42408,374,BTC-USD
2025-01-09 15:52:35.741202,8756,14238,45649,356,BTC-USD
2025-01-10 15:52:35.741202,9005,15032,45570,362,BTC-USD
2025-01-11 15:52:35.741202,8849,15661,42004,347,BTC-USD
2025-01-12 15:52:35.741202,8549,15350,39587,324,BTC-USD
2025-01-13 15:52:35.741202,8359,15502,41186,339,BTC-USD
2025-01-14 15:52:35.741202,8080,14714,40946,352,BTC-USD
2025-01-15 15:52:35.741202,8133,13915,40950,376,BTC-USD
2025-01-16 15:52:35.741202,8232,13597,43741,360,BTC-USD
2025-01-17 15:52:35.741202,8248,13537,43830,378,BTC-USD
2025-01-18 15:52:35.741202,8221,13656,43676,408,BTC-USD
2025-01-19 15:52:35.741202,8678,13572,41763,400,BTC-USD
2025-01-20 15:52:35.741202,8777,12792,40555,372,BTC-USD
2025-01-21 15:52:35.741202,8867,12234,41596,383,BTC-USD
2025-01-22 15:52:35.741202,9044,12357,41948,402,BTC-USD
2025-01-23 15:52:35.741202,9194,12679,40614,424,BTC-USD
2025-01-24 15:52:35.741202,9135,13067,38929,464,BTC-USD
2025-01-25 15:52:35.741202,9200,13663,38899,459,BTC-USD
2025-01-26 15:52:35.741202,9217,13682,40341,445,BTC-USD
2025-01-27 15:52:35.741202,9437,13308,39953,464,BTC-USD
2025-01-28 15:52:35.741202,9645,13196,41473,453,BTC-USD
2025-01-29 15:52:35.741202,9218,12810,39874,491,BTC-USD
2025-01-30 15:52:35.741202,9151,13696,41787,517,BTC-USD
2025-01-31 15:52:35.741202,8550,13342,41413,524,BTC-USD
2025-02-01 15:52:35.741202,8597,12674,43551,534,BTC-USD
2025-02-02 15:52:35.741202,8553,13707,43811,535,BTC-USD
2025-02-03 15:52:35.741202,8704,14432,43146,560,BTC-USD
2025-02-04 15:52:35.741202,8343,14665,43544,575,BTC-USD
2025-02-05 15:52:35.741202,8634,15248,42522,592,BTC-USD
2025-02-06 15:52:35.741202,8446,15002,40620,509,BTC-USD
2025-02-07 15:52:35.741202,8217,15774,41804,476,BTC-USD
2025-02-08 15:52:35.741202,8292,16335,42063,455,BTC-USD
2025-02-09 15:52:35.741202,8582,17141,41348,459,BTC-USD
2025-02-10 15:52:35.741202,8664,17633,42777,424,BTC-USD
2025-02-11 15:52:35.741202,8630,16666,43625,439,BTC-USD
2025-02-12 15:52:35.741202,8133,16686,43260,428,BTC-USD
2025-02-13 15:52:35.741202,8114,17331,40476,444,BTC-USD
2025-02-14 15:52:35.741202,8043,17406,42368,462,BTC-USD
2025-02-15 15:52:35.741202,8058,18090,39581,447,BTC-USD
2025-02-16 15:52:35.741202,8386,17518,41306,470,BTC-USD
2025-02-17 15:52:35.741202,8479,18060,41352,426,BTC-USD
2025-02-18 15:52:35.741202,8647,17362,43684,423,BTC-USD
2025-02-19 15:52:35.741202,8898,17278,43786,437,BTC-USD
2025-02-20 15:52:35.741202,9279,17394,45757,448,BTC-USD
2025-02-21 15:52:35.741202,9384,16277,43993,431,BTC-USD
2025-02-22 15:52:35.741202,9486,16833,45549,447,BTC-USD
2025-02-23 15:52:35.741202,9584,17539,42828,509,BTC-USD
2025-02-24 15:52:35.741202,9259,17984,43227,508,BTC-USD
2025-02-25 15:52:35.741202,9535,18692,40709,476,BTC-USD
2025-02-26 15:52:35.741202,9585,20570,39104,481,BTC-USD
2025-02-27 15:52:35.741202,9434,21701,37695,495,BTC-USD
2025-02-28 15:52:35.741202,9318,19676,35232,534,BTC-USD
2025-03-01 15:52:35.741202,9245,19232,35761,568,BTC-USD
2025-03-02 15:52:35.741202,8989,19259,36231,665,BTC-USD
2025-03-03 15:52:35.741202,8911,19338,36766,664,BTC-USD
2025-03-04 15:52:35.741202,9224,18677,38058,675,BTC-USD
2025-03-05 15:52:35.741202,9602,17537,37587,725,BTC-USD
2025-03-06 15:52:35.741202,9380,17073,37406,748,BTC-USD
2025-03-07 15:52:35.741202,9590,18030,38267,771,BTC-USD
2025-03-08 15:52:35.741202,9823,18348,39914,753,BTC-USD
2025-03-09 15:52:35.741202,9392,18698,40520,689,BTC-USD
2025-03-10 15:52:35.741202,9550,19314,41206,748,BTC-USD
2025-03-11 15:52:35.741202,9291,18450,44782,739,BTC-USD
2025-03-12 15:52:35.741202,9205,19952,44061,779,BTC-USD
2025-03-13 15:52:35.741202,9175,20271,45381,797,BTC-USD
2025-03-14 15:52:35.741202,8967,20939,46842,796,BTC-USD
2025-03-15 15:52:35.741202,8914,21544,47524,802,BTC-USD
2025-03-16 15:52:35.741202,8885,22316,44208,794,BTC-USD
2025-03-17 15:52:35.741202,8853,23261,39817,823,BTC-USD
2025-03-18 15:52:35.741202,8882,22446,39878,826,BTC-USD
2025-03-19 15:52:35.741202,8921,22904,36607,865,BTC-USD
2025-03-20 15:52:35.741202,9058,23160,36974,879,BTC-USD
2025-03-21 15:52:35.741202,8943,23383,37627,923,BTC-USD
