date,active_addresses,transactions,volume,fees,symbol
2024-12-27 15:52:35.823903,2633,36682,71377,902,ETH-USD
2024-12-28 15:52:35.823903,2652,35584,72317,891,ETH-USD
2024-12-29 15:52:35.823903,2689,33554,72300,872,ETH-USD
2024-12-30 15:52:35.823903,2595,32677,73002,860,ETH-USD
2024-12-31 15:52:35.823903,2541,34311,74759,837,ETH-USD
2025-01-01 15:52:35.823903,2519,34586,74534,829,ETH-USD
2025-01-02 15:52:35.823903,2472,34255,73720,847,ETH-USD
2025-01-03 15:52:35.823903,2504,32530,73103,848,ETH-USD
2025-01-04 15:52:35.823903,2456,33603,73150,859,ETH-USD
2025-01-05 15:52:35.823903,2473,32765,74000,871,ETH-USD
2025-01-06 15:52:35.823903,2442,34268,74376,876,ETH-USD
2025-01-07 15:52:35.823903,2449,33409,75388,889,ETH-USD
2025-01-08 15:52:35.823903,2419,31132,74707,881,ETH-USD
2025-01-09 15:52:35.823903,2381,28070,76606,897,ETH-USD
2025-01-10 15:52:35.823903,2369,30628,80718,900,ETH-USD
2025-01-11 15:52:35.823903,2467,30589,84112,908,ETH-USD
2025-01-12 15:52:35.823903,2479,31861,85798,927,ETH-USD
2025-01-13 15:52:35.823903,2516,31946,85634,944,ETH-USD
2025-01-14 15:52:35.823903,2514,31594,87255,956,ETH-USD
2025-01-15 15:52:35.823903,2535,30511,86085,967,ETH-USD
2025-01-16 15:52:35.823903,2478,27683,86572,987,ETH-USD
2025-01-17 15:52:35.823903,2463,25137,87815,980,ETH-USD
2025-01-18 15:52:35.823903,2402,25499,88617,981,ETH-USD
2025-01-19 15:52:35.823903,2454,25983,86633,971,ETH-USD
2025-01-20 15:52:35.823903,2492,26633,87038,990,ETH-USD
2025-01-21 15:52:35.823903,2468,28150,89860,994,ETH-USD
2025-01-22 15:52:35.823903,2474,28534,86025,979,ETH-USD
2025-01-23 15:52:35.823903,2426,29435,84968,990,ETH-USD
2025-01-24 15:52:35.823903,2467,28873,83872,980,ETH-USD
2025-01-25 15:52:35.823903,2412,29002,84813,990,ETH-USD
2025-01-26 15:52:35.823903,2402,29866,84884,972,ETH-USD
2025-01-27 15:52:35.823903,2404,29158,89229,958,ETH-USD
2025-01-28 15:52:35.823903,2388,28047,88920,997,ETH-USD
2025-01-29 15:52:35.823903,2388,27409,90394,989,ETH-USD
2025-01-30 15:52:35.823903,2381,27374,91054,992,ETH-USD
2025-01-31 15:52:35.823903,2377,27376,91451,980,ETH-USD
2025-02-01 15:52:35.823903,2358,27467,94940,966,ETH-USD
2025-02-02 15:52:35.823903,2361,26458,97137,963,ETH-USD
2025-02-03 15:52:35.823903,2375,28380,100434,983,ETH-USD
2025-02-04 15:52:35.823903,2397,27437,100879,958,ETH-USD
2025-02-05 15:52:35.823903,2437,25885,102795,949,ETH-USD
2025-02-06 15:52:35.823903,2442,22563,100327,954,ETH-USD
2025-02-07 15:52:35.823903,2464,24224,99990,966,ETH-USD
2025-02-08 15:52:35.823903,2460,24753,105329,977,ETH-USD
2025-02-09 15:52:35.823903,2422,24908,104288,977,ETH-USD
2025-02-10 15:52:35.823903,2444,22757,101823,980,ETH-USD
2025-02-11 15:52:35.823903,2479,21270,103432,957,ETH-USD
2025-02-12 15:52:35.823903,2431,20598,105436,951,ETH-USD
2025-02-13 15:52:35.823903,2405,20080,100243,970,ETH-USD
2025-02-14 15:52:35.823903,2408,20213,103720,978,ETH-USD
2025-02-15 15:52:35.823903,2380,19977,108477,981,ETH-USD
2025-02-16 15:52:35.823903,2440,20785,106228,982,ETH-USD
2025-02-17 15:52:35.823903,2449,20277,107094,962,ETH-USD
2025-02-18 15:52:35.823903,2357,20589,107184,967,ETH-USD
2025-02-19 15:52:35.823903,2406,21327,108817,965,ETH-USD
2025-02-20 15:52:35.823903,2439,22392,116838,985,ETH-USD
2025-02-21 15:52:35.823903,2450,22270,118403,996,ETH-USD
2025-02-22 15:52:35.823903,2430,21955,119719,988,ETH-USD
2025-02-23 15:52:35.823903,2448,22468,117238,980,ETH-USD
2025-02-24 15:52:35.823903,2415,23455,119776,993,ETH-USD
2025-02-25 15:52:35.823903,2433,21487,121370,977,ETH-USD
2025-02-26 15:52:35.823903,2480,21096,120073,980,ETH-USD
2025-02-27 15:52:35.823903,2484,22603,115696,941,ETH-USD
2025-02-28 15:52:35.823903,2466,22811,116544,923,ETH-USD
2025-03-01 15:52:35.823903,2430,23340,119271,932,ETH-USD
2025-03-02 15:52:35.823903,2365,24233,117265,937,ETH-USD
2025-03-03 15:52:35.823903,2335,24579,118240,940,ETH-USD
2025-03-04 15:52:35.823903,2361,24841,113354,940,ETH-USD
