date,active_addresses,transactions,volume,fees,symbol
2024-12-27 15:52:35.879171,4311,41101,17857,626,XRP-USD
2024-12-28 15:52:35.879171,4322,42243,18159,611,XRP-USD
2024-12-29 15:52:35.879171,4426,42586,17852,589,XRP-USD
2024-12-30 15:52:35.879171,4371,42289,18002,602,XRP-USD
2024-12-31 15:52:35.879171,4433,41720,17975,607,XRP-USD
2025-01-01 15:52:35.879171,4370,41136,17513,612,XRP-USD
2025-01-02 15:52:35.879171,4409,40749,17379,636,XRP-USD
2025-01-03 15:52:35.879171,4438,41665,17117,635,XRP-USD
2025-01-04 15:52:35.879171,4451,41688,17412,656,XRP-USD
2025-01-05 15:52:35.879171,4385,42191,17910,628,XRP-USD
2025-01-06 15:52:35.879171,4350,44527,17686,633,XRP-USD
2025-01-07 15:52:35.879171,4402,44768,16983,638,XRP-USD
2025-01-08 15:52:35.879171,4390,43801,17536,677,XRP-USD
2025-01-09 15:52:35.879171,4625,43544,17613,681,XRP-USD
2025-01-10 15:52:35.879171,4675,42773,17311,656,XRP-USD
2025-01-11 15:52:35.879171,4720,43962,17267,631,XRP-USD
2025-01-12 15:52:35.879171,4790,44084,16751,639,XRP-USD
2025-01-13 15:52:35.879171,4839,44460,16456,632,XRP-USD
2025-01-14 15:52:35.879171,4919,44527,16772,587,XRP-USD
2025-01-15 15:52:35.879171,4932,44966,16334,579,XRP-USD
2025-01-16 15:52:35.879171,4924,44614,16687,548,XRP-USD
2025-01-17 15:52:35.879171,4845,44338,16847,535,XRP-USD
2025-01-18 15:52:35.879171,4974,46356,16748,556,XRP-USD
2025-01-19 15:52:35.879171,4882,48500,16751,538,XRP-USD
2025-01-20 15:52:35.879171,4853,50296,17063,536,XRP-USD
2025-01-21 15:52:35.879171,4979,51563,16685,535,XRP-USD
2025-01-22 15:52:35.879171,4854,49899,16568,525,XRP-USD
2025-01-23 15:52:35.879171,4880,47474,16738,537,XRP-USD
2025-01-24 15:52:35.879171,4848,48480,16829,498,XRP-USD
2025-01-25 15:52:35.879171,4788,47831,16906,493,XRP-USD
2025-01-26 15:52:35.879171,4843,49198,17400,516,XRP-USD
2025-01-27 15:52:35.879171,4880,49362,16802,528,XRP-USD
2025-01-28 15:52:35.879171,4954,50287,16681,531,XRP-USD
2025-01-29 15:52:35.879171,4966,51287,16733,565,XRP-USD
2025-01-30 15:52:35.879171,5076,54015,16280,594,XRP-USD
2025-01-31 15:52:35.879171,5066,54836,15860,604,XRP-USD
2025-02-01 15:52:35.879171,5260,55462,15976,643,XRP-USD
2025-02-02 15:52:35.879171,5378,56244,15445,609,XRP-USD
2025-02-03 15:52:35.879171,5575,57544,15131,577,XRP-USD
2025-02-04 15:52:35.879171,5666,59482,14994,570,XRP-USD
2025-02-05 15:52:35.879171,5671,60000,14892,571,XRP-USD
2025-02-06 15:52:35.879171,5908,62733,14687,609,XRP-USD
2025-02-07 15:52:35.879171,6016,63484,15003,591,XRP-USD
2025-02-08 15:52:35.879171,5961,63448,15114,617,XRP-USD
2025-02-09 15:52:35.879171,6143,62779,14958,612,XRP-USD
2025-02-10 15:52:35.879171,6215,61242,15048,592,XRP-USD
2025-02-11 15:52:35.879171,6251,61186,15223,572,XRP-USD
2025-02-12 15:52:35.879171,6437,62675,15037,550,XRP-USD
2025-02-13 15:52:35.879171,6346,63690,14932,547,XRP-USD
2025-02-14 15:52:35.879171,6406,62413,15164,538,XRP-USD
2025-02-15 15:52:35.879171,6689,60790,15122,516,XRP-USD
2025-02-16 15:52:35.879171,6717,59049,15402,486,XRP-USD
2025-02-17 15:52:35.879171,6626,61365,15293,490,XRP-USD
2025-02-18 15:52:35.879171,6613,63770,15554,467,XRP-USD
2025-02-19 15:52:35.879171,6702,63907,15503,503,XRP-USD
2025-02-20 15:52:35.879171,6961,62926,15138,541,XRP-USD
2025-02-21 15:52:35.879171,6921,61514,14957,562,XRP-USD
2025-02-22 15:52:35.879171,7007,64383,14804,555,XRP-USD
2025-02-23 15:52:35.879171,7084,66546,14629,519,XRP-USD
2025-02-24 15:52:35.879171,7130,67065,14612,527,XRP-USD
2025-02-25 15:52:35.879171,7086,68752,14148,470,XRP-USD
2025-02-26 15:52:35.879171,7239,71360,14004,466,XRP-USD
2025-02-27 15:52:35.879171,7365,73882,14159,503,XRP-USD
2025-02-28 15:52:35.879171,7318,74107,14280,526,XRP-USD
2025-03-01 15:52:35.879171,7464,74906,14265,481,XRP-USD
2025-03-02 15:52:35.879171,7847,75435,14392,489,XRP-USD
2025-03-03 15:52:35.879171,7957,71972,13859,490,XRP-USD
2025-03-04 15:52:35.879171,8091,72278,13250,465,XRP-USD
2025-03-05 15:52:35.879171,7878,76242,13159,462,XRP-USD
2025-03-06 15:52:35.879171,8171,77191,12919,464,XRP-USD
2025-03-07 15:52:35.879171,8342,79881,12323,445,XRP-USD
2025-03-08 15:52:35.879171,8605,79654,12102,471,XRP-USD
2025-03-09 15:52:35.879171,8847,80888,11940,496,XRP-USD
2025-03-10 15:52:35.879171,9046,81541,12093,484,XRP-USD
2025-03-11 15:52:35.879171,9115,83689,11963,476,XRP-USD
2025-03-12 15:52:35.879171,9270,84187,11899,501,XRP-USD
2025-03-13 15:52:35.879171,9255,85660,11869,508,XRP-USD
2025-03-14 15:52:35.879171,9099,89840,11339,497,XRP-USD
2025-03-15 15:52:35.879171,9479,92697,11453,509,XRP-USD
2025-03-16 15:52:35.879171,9555,94524,11448,475,XRP-USD
2025-03-17 15:52:35.879171,9431,96750,11214,493,XRP-USD
2025-03-18 15:52:35.879171,9401,98129,11301,475,XRP-USD
2025-03-19 15:52:35.879171,9538,102517,11570,466,XRP-USD
2025-03-20 15:52:35.879171,9750,100785,11140,491,XRP-USD
2025-03-21 15:52:35.879171,9432,102593,10938,510,XRP-USD
2025-03-22 15:52:35.879171,9224,95614,10830,491,XRP-USD
2025-03-23 15:52:35.879171,9249,95063,10635,501,XRP-USD
2025-03-24 15:52:35.879171,9317,100313,10378,482,XRP-USD
2025-03-25 15:52:35.879171,9667,103597,10388,479,XRP-USD
2025-03-26 15:52:35.879171,9943,103612,10613,459,XRP-USD
2025-03-27 15:52:35.879171,9544,106243,10730,453,XRP-USD
